State,State_code,District,District_code,Market_code,Market
Bihar,BI,Gopalgang,30,1638,Gopalganj
Bihar,BI,Jamui,32,1651,Jamui
Bihar,BI,Jamui,32,10015,Sikandara
Bihar,BI,Jehanabad,33,1634,Jehanabad
Bihar,BI,Kaimur/Bhabhua,96,10020,Kaimur
Bihar,BI,Kaimur/Bhabhua,96,1636,Mohana
Bihar,BI,Kaithar,11,10017,Barari
Bihar,BI,Kaithar,11,1643,Barsoi
Bihar,BI,Kaithar,11,10016,"Gerabari, Korha Block"
Bihar,BI,Kaithar,11,34,Katihar
Bihar,BI,Khagaria,34,425,Khagaria
Bihar,BI,Khagaria,34,10018,Mansi Mandi
Bihar,BI,Kishanganj,35,1642,Bahadurganj
Bihar,BI,Kishanganj,35,420,Kishanganj
Bihar,BI,Kishanganj,35,1658,Thakurganj
Bihar,BI,Luckeesarai,52,1647,Lakhisarai
Bihar,BI,Luckeesarai,52,10019,Surjyagarha
Bihar,BI,Madhepura,38,1771,Bihariganj
Bihar,BI,Madhepura,38,10023,Murliganj
Bihar,BI,Madhepura,38,1654,Singheswarsthan
Bihar,BI,Madhubani,12,10024,Benipatti
Bihar,BI,Madhubani,12,1656,Jahajharpur
Bihar,BI,Madhubani,12,1655,Jainagar
Bihar,BI,Madhubani,12,35,Madhubani
Bihar,BI,Munghair,39,421,Munghair
Bihar,BI,Muzaffarpur,13,10025,Bhagwanpur Mandi
Bihar,BI,Muzaffarpur,13,36,Muzaffarpur
Bihar,BI,Nalanda,40,412,Biharsharif
Bihar,BI,Nalanda,40,10026,Harnaut
Bihar,BI,Nawada,41,1139,Nawada
Bihar,BI,Nawada,41,10027,Rajauli
Bihar,BI,Patna,14,413,Bihta
Bihar,BI,Patna,14,411,Danapur
Bihar,BI,Patna,14,1633,Mokama
Bihar,BI,Patna,14,37,Patna (Musallahpur)
Bihar,BI,Patna,14,38,Patna City
Bihar,BI,Purnea,15,10028,Bhawanipur
Bihar,BI,Purnea,15,39,Gulabbagh
Bihar,BI,Purnea,15,1641,Kaswa
Bihar,BI,Rohtas,17,10031,Dehri
